[2024-08-07 15:55:05.572] [2777042] [HailoRT] [info] [device.cpp:46] [Device] OS Version: Linux 5.15.0-78-generic #85~20.04.1-Ubuntu SMP Mon Jul 17 09:42:39 UTC 2023 x86_64
[2024-08-07 15:55:05.573] [2777042] [HailoRT] [info] [control.cpp:100] [control__parse_identify_results] firmware_version is: 4.18.0
[2024-08-07 15:55:05.573] [2777042] [HailoRT] [info] [vdevice.cpp:652] [create] VDevice Infos: 0000:17:00.0
[2024-08-07 15:55:05.616] [2777042] [HailoRT] [info] [hef.cpp:1844] [get_network_group_and_network_name] No name was given. Addressing all networks of default network_group: yolox_tiny
[2024-08-07 15:55:05.616] [2777042] [HailoRT] [info] [hef.cpp:1844] [get_network_group_and_network_name] No name was given. Addressing all networks of default network_group: yolox_tiny
[2024-08-07 15:55:05.618] [2777042] [HailoRT] [info] [hef.cpp:1844] [get_network_group_and_network_name] No name was given. Addressing all networks of default network_group: yolox_tiny
[2024-08-07 15:55:05.623] [2777048] [HailoRT] [info] [buffer_requirements.cpp:146] [find_initial_desc_page_size] Using non-default initial_desc_page_size of 256, due to a small transfer size (208)
[2024-08-07 15:55:05.624] [2777048] [HailoRT] [info] [internal_buffer_manager.cpp:204] [print_execution_results] Planned internal buffer memory: CMA memory 0, user memory 481280. memory to edge layer usage factor is 1.0
[2024-08-07 15:55:05.624] [2777048] [HailoRT] [info] [internal_buffer_manager.cpp:212] [print_execution_results] Default Internal buffer planner executed successfully
[2024-08-07 15:55:05.639] [2777048] [HailoRT] [info] [device_internal.cpp:57] [configure] Configuring HEF took 20.535111 milliseconds
[2024-08-07 15:55:05.639] [2777048] [HailoRT] [info] [vdevice.cpp:751] [configure] Configuring HEF on VDevice took 21.100316 milliseconds
[2024-08-07 15:55:05.639] [2777048] [HailoRT] [info] [multi_io_elements.cpp:780] [create] Created (AsyncHwEl)
[2024-08-07 15:55:05.639] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (EntryPushQEl0yolox_tiny/input_layer1 | timeout: 10s)
[2024-08-07 15:55:05.639] [2777048] [HailoRT] [info] [filter_elements.cpp:101] [create] Created (PreInferEl3yolox_tiny/input_layer1 | Reorder - src_order: NHWC, src_shape: (416, 416, 3), dst_order: NHCW, dst_shape: (416, 416, 3))
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl3yolox_tiny/input_layer1 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [multi_io_elements.cpp:159] [create] Created (NmsPPMuxEl0YOLOX-Post-Process | Op YOLOX, Name: YOLOX-Post-Process, Score threshold: 0.200, IoU threshold: 0.45, Classes: 80, Cross classes: false, Max bboxes per class: 100, Image height: 416, Image width: 416)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms3yolox_tiny/conv54_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms2yolox_tiny/conv55_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms1yolox_tiny/conv56_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms9yolox_tiny/conv68_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms5yolox_tiny/conv69_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms0yolox_tiny/conv70_111 | timeout: 10s)
[2024-08-07 15:55:05.640] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms8yolox_tiny/conv81_111 | timeout: 10s)
[2024-08-07 15:55:05.641] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms7yolox_tiny/conv82_111 | timeout: 10s)
[2024-08-07 15:55:05.641] [2777048] [HailoRT] [info] [queue_elements.cpp:420] [create] Created (PushQEl_nms6yolox_tiny/conv83_111 | timeout: 10s)
[2024-08-07 1
